S. No,ID,Name,Category,CoreMechanic,Controls,SessionLengthSec,OutcomeType,OutcomeCondition,Scoring,Notes,Column 1
28,tap_the_odd,TAP the Odd,Reflex,Grid of shapes; tap the one that differs,Tap,30,Survive,Wrong tap ends run,+2 per correct; streak bonus +5 every 5,"Shapes differ by color, size, or orientation",
29,flip_runner,Flip Runner,Arcade,Character auto-runs; swipe down to flip gravity (ceiling/floor),Swipe (down),30,Survive,Collision with obstacle ends run,+1 per second survived,+2 per coin while inverted,Obstacles alternate floor/ceiling
30,spot_difference,Spot the Difference,Puzzle,Two similar images shown; tap 3 differences,Tap,50,Win,Find all differences before time expires,+10 per correct difference,Simple vector drawings; differences highlighted after,
31,tower_balance,Tower Balance,Arcade,Stack random shapes while keeping tower stable,Drag & Drop,40,Survive,Tower tips over or shape falls off,+2 per shape placed; bonus +5 for 5 in a row,Shapes vary in size/weight; physics-lite,
32,slide_puzzle,Slide Puzzle,Puzzle,Arrange tiles to form complete picture,Swipe,50,Win,Complete puzzle before timer ends,+10 for finishing; +1 per correct move,3x3 sliding puzzle; scrambled at start,
33,line_runner,Line Runner,Reflex,Trace finger along moving path without leaving line,Drag,30,Survive,Finger leaves path ends run,+1 per second; +10 if complete path,Path wiggles randomly; width shrinks over time,
34,target_shoot,Target Shoot,Arcade,Tap targets appearing randomly on screen,Tap,30,Win,Hit required number before time expires,+1 per hit; -2 per miss,Target size shrinks every 10s,
35,tile_drop,Tile Drop,Puzzle,Tap correct falling tiles matching shown color/number,Tap,30,Survive,Wrong tile tapped ends run,+2 per correct tile,Multiple tiles fall simultaneously,
36,rope_cut,Rope Cut,Puzzle,Swipe to cut rope and drop ball into basket,Swipe,40,Win,Ball lands in basket,+20 for success; +10 time bonus,One-screen physics puzzle; 2–3 ropes,
37,circle_dodge,Circle Dodge,Arcade,"Player in center; circles shrink inward, drag to dodge gaps",Drag,30,Survive,Collision with circle ends run,+1 per second survived,+5 per circle wave passed,
38,stack_jump,Stack Jump,Arcade,Auto-jumping character lands on moving platforms,Tap,30,Survive,Missed platform ends run,+1 per platform landed,+2 if perfect center,
39,pattern_repeat,Pattern Repeat,Memory,Repeat shown swipe pattern (up/down/left/right),Swipe,40,Win,Complete N patterns before time ends,+5 per correct pattern; streak +5 bonus,Pattern length increases each round,
40,number_sum,Number Sum,Puzzle,Tap numbers adding to target shown,Tap,45,Win,Clear all targets before time ends,+2 per correct set; -1 per wrong,Target changes every 10s; small grid 1–9,
41,one_tap_jump,One Tap Jump,Reflex,Character jumps once per tap; avoid spikes on ground/ceiling,Tap,30,Survive,Collision with spikes ends run,+1 per jump landed,+2 bonus for clearing double spikes,
42,color_fill,Color Fill,Puzzle,Swipe to fill grid cells with color without overlap,Swipe,40,Win,Fill entire grid before timer ends,+5 per row/column completed,5x5 grid; each swipe fills straight line,
43,tap_left_right,Tap Left or Right,Reflex,Arrows fall; tap left or right button to match direction,Tap,30,Survive,Wrong input ends run,+1 per correct arrow,+5 for streak of 10,
44,fast_math,Fast Math,Puzzle,Equation shown; tap True or False quickly,Tap,30,Survive,3 wrong answers ends run,+2 per correct; +10 streak bonus,Simple arithmetic only,
45,bubble_wrap,Bubble Wrap,Arcade,Grid of bubbles; tap to pop all,Tap,40,Win,Clear grid before time ends,+1 per bubble,+20 if all popped under 20s,
46,line_connect,Line Connect,Puzzle,Connect dots in sequence without lifting finger,Drag,45,Win,Complete sequence before time expires,+5 per completed shape,"Shapes simple: triangle, square, star",
47,coin_catcher,Coin Catcher,Arcade,Basket at bottom catches falling coins,Drag (horizontal),30,Win,Catch target number of coins before timer ends,+1 per coin; +5 golden coin,Missed bombs deduct points,
48,tap_stop,Tap Stop,Reflex,Rotating arrow; tap to stop inside green zone,Tap,30,Survive,3 misses ends run,+3 per hit,+5 for perfect center,
49,memory_number,Memory Number,Memory,Show 3–5 digits briefly; tap them in correct order,Tap,40,Win,Complete all sequences before time ends,+5 per correct sequence,Digits flash 1s; difficulty increases,
50,mirror_swipe,Mirror Swipe,Reflex,Arrow shown; swipe opposite direction,Swipe,30,Survive,Wrong swipe ends run,+1 per correct response,Speeds up every 5s,
